5.0 135.2111 -1.3193 1528260836 135km ESE of Manokwari, Indonesia
2.56 -155.1143341 19.4093342 1528261129 11km SSW of Fern Acres, Hawaii
2.29 -155.2819977 19.4018326 1528261175 5km SW of Volcano, Hawaii
2.19 -121.5801697 36.9580002 1488173538 5km S of Gilroy, California
2.18 -155.4051666 19.4743328 1528258991 18km WNW of Volcano, Hawaii
1.96 -122.7386703 38.7928352 1528261517 2km NE of The Geysers, CA
1.93 -120.7194977 39.8255005 1528260115 5km SSW of Cromberg, CA
1.9 -155.2828369 19.4009991 1528260867 5km SW of Volcano, Hawaii
1.89 -155.2776642 19.4165001 1528259629 4km WSW of Volcano, Hawaii
1.89 -155.298172 19.4016666 1528259191 7km WSW of Volcano, Hawaii
1.83 -155.2731628 19.4015007 1528258993 4km SW of Volcano, Hawaii
1.8 -155.2810059 19.3998337 1528261804 5km SW of Volcano, Hawaii
1.8 -155.2728271 19.4046669 1528259408 4km SW of Volcano, Hawaii
1.8 -155.2941742 19.378334 1528258916 8km SW of Volcano, Hawaii
1.79 -155.2774963 19.4020004 1528261803 5km SW of Volcano, Hawaii
1.78 -155.2681732 19.3978329 1528260653 4km SW of Volcano, Hawaii
1.74 -155.298172 19.4093342 1528259749 6km WSW of Volcano, Hawaii
1.71 -155.280838 19.4143333 1528261443 4km WSW of Volcano, Hawaii
1.5 -150.4735 62.985 1528261345 76km NNW of Talkeetna, Alaska
1.1 -117.1748333 33.9938333 1528258879 7km S of Redlands, CA
1.05 -117.0085 34.2036667 1488185465 9km E of Running Springs, CA
